subject_id,label,X,Y,Pressure,Azimuth,Tilt,PenStatus,Vx_Pos,Vx_Neg,Vy_Pos,Vy_Neg,Ax_Pos,Ax_Neg,Ay_Pos,Ay_Neg,Jx_Pos,Jx_Neg,Jy_Pos,Jy_Neg
6,1,-0.0003291536193749494,-0.0005182084551268247,-0.0001051597741531225,3.317977854324683e-05,0.0003383387256512123,4.046899696319883e-05,0.007382122194416255,-0.0006295345661340504,0.005182828434529373,0.0019122208611718477,-0.0015081278506608963,0.0015037416691937174,0.0003577912422648716,0.00018537232836674127,0.0003531608508655849,0.0005654029066820096,0.0010787011658521168,0.0004933124596264819
7,1,-9.89383214449262e-05,0.00029022871332512066,4.6848514123666975e-05,9.977493628324829e-05,-0.0003220758717067724,9.131405737437603e-05,0.0034626869572652328,-0.0006534297035976428,0.0015337487638983711,0.0008150334888762895,-0.0004716840597854372,0.0004611788932340091,0.0004018848186701566,0.00026037562656861614,0.00020677330604906336,0.00018496548190353277,0.0005727637419100805,0.00013113579423992187
8,1,0.0009528313091609562,0.0007928039239629925,0.0001194658024646742,0.0001568635321311156,0.0009045233669243941,0.00010667087803652376,0.002183573694854021,-0.0004890100503723221,0.0033748285315762534,0.0010706490097392842,-0.00030982404066371707,0.0005928712117650058,0.0004900253628361038,0.0003230947489231885,0.00034762024503921595,0.00020900136627154906,0.0007218509681069414,0.00044476467039142076
11,1,0.0006894090826494335,0.00018419004374277214,0.00019337524175136879,8.200908845685718e-05,6.929856225967512e-05,-0.00017718287554427547,0.000855784307552594,-0.0005329994502880466,0.0008376070946862473,0.00015088381205290423,-9.457628611295917e-05,0.00016731000065119836,0.00032143944987744717,0.00024428328856564895,6.479250170220621e-05,5.146253317222746e-05,0.00035794715550983586,2.0061949825522057e-05
13,1,-1.5573282349574668e-05,-0.00019056767126932072,0.0007244315651284978,0.00025023752091535376,-0.00015872498711284687,0.0003053253283728825,0.0010588805661261346,-0.0008015632920643157,-8.736369050438953e-05,-3.4543789613032224e-05,1.0068140137412038e-06,0.00021283858997917687,0.0004008249162455378,0.000380713182675227,2.7512905794634557e-05,1.6742363729269716e-05,-4.5355253472058964e-05,-0.00018250338413259185
14,1,0.0004937633742044696,0.00020519201834189892,7.463035419542052e-05,0.00014967360644799755,0.00010233922595949352,-0.0001798480444603001,0.0037655369284291954,-0.0008359385485787702,0.003360964662486187,0.002006179937642077,-0.00019658399292839688,0.00041175101262241664,0.00034989367768013384,0.00020584827821716457,0.00012840998572288015,0.00014179783102719057,0.0004718247401148982,0.0001178765779466044
15,1,0.0010651152723357882,0.0002921171174800321,-0.0004557221544373533,-0.00047031337324005305,0.000248573243708563,-0.00030024000003623286,0.0018231762407713195,-0.0006477938546281184,0.0013699975470255743,0.0010634400439053823,-0.00016075863061216543,0.00034947845521054793,0.0004116879562951232,0.0002800606304243616,6.175977238650697e-05,0.00010139946740024617,0.0002914080125264658,-3.557189198733174e-05
16,1,0.00025630928795249017,-1.0571877747194592e-05,6.463922039756653e-07,5.1321865126247704e-05,0.00033418408220970265,5.2024376843675665e-05,0.001981651375610929,-0.0006883959857723905,0.0008658259079697809,0.00033845849093224107,-0.00033594363296429275,0.0003701723003706666,0.00042969520909283177,0.0004318233911586637,0.00011158350401501593,7.371463354823546e-05,0.000124565540189037,-6.205946669146535e-05
17,1,3.486000805757783e-06,0.0002801489144122442,-0.00012145887852420856,0.00015469598024895958,-4.543332269123823e-05,5.8195268570202076e-05,0.0023446342150237887,-0.0006467541980445597,0.0024652589019565066,0.0020212479310917583,-0.00021071130519381503,0.0005121365626508439,0.00035490440890173546,0.00036665699020287524,3.383866224987216e-05,5.5727335087184214e-05,0.00011538357368801764,-3.9194345245182694e-05
19,1,-4.850496967403473e-05,0.00029686481859840795,1.9305514150619983e-05,0.00017383040369006153,-4.312267635856415e-05,2.402056882232273e-05,0.0020247569137089513,-0.0005587672031169642,0.002649596177730386,0.0016946378959494539,-0.00022473836307400938,0.00039747188403100377,0.00024227461527612576,0.00024280686710068277,2.950042711813493e-05,5.814372130535298e-05,0.0001562207278958861,-1.5387560249538595e-05
21,1,0.0002802941020712666,0.00027399084556918753,0.0003782152442744291,8.868217389717615e-05,9.191549482888917e-06,0.00012231353255034348,0.0,-0.000652815118343824,0.0,-0.0011857343668598332,0.0,8.545453030983908e-05,0.0,0.00024339136654629102,0.0,-5.793955871175882e-05,0.0,-0.0002817415013735456
22,1,4.9848071843165085e-05,0.00038338764689859774,0.00016044884092843858,-0.0005449132958826298,0.00020591888800599635,7.048317117485681e-05,0.002715278832707884,-0.0005255401628536535,0.0010620676783489203,0.00032539741158018687,-0.00057564456145648,0.0006178859071373574,0.0004407350522154317,0.000192304253598305,0.00028152789167058297,0.00027943201935272383,0.0004498907830841322,-1.0124637401099404e-05
26,1,0.0011442707101559791,0.00021714254586530047,0.00022641106141503542,0.0001427780965354515,-8.976586849061618e-05,-7.01192788280025e-06,0.0005316734617559058,-0.0006226202912794143,-0.0005009709526283007,-0.0005540683854500196,-9.02207366136703e-05,0.00017574584811522572,0.00036343502709516976,0.00036167202125635486,5.915583913370577e-05,3.096746837002979e-05,8.285593475432889e-05,-0.00016572479564260048
29,1,-0.00020090769044915646,6.81791494382451e-05,-4.1591009909325295e-05,0.0002468057624570008,-2.973902000874773e-06,2.947931022723793e-05,0.0027412065778575716,-0.000774460698804782,0.002616307416041168,0.0022476042573750955,-0.00011724561906573091,0.00036975077638128306,0.00039619289029638974,0.00031988235423386957,0.0002126706155636903,9.44057348021808e-05,0.00033474291604584445,0.00013007119049331787
32,1,0.0011200479509866023,0.00017860983666606245,6.925260481330043e-05,-0.00048827117877237925,-0.0006335648662029882,6.2745867860998e-05,0.0020202521185103037,-0.0007708902067520285,0.0021277674322197743,0.002483936298505151,-0.00013358169927545595,0.0003404804116887477,0.00041237550157726907,0.00018893348917909829,7.61928681736533e-05,0.00010902274411698658,0.0005366309127738054,2.9345350422904186e-05
36,1,-0.00025912398047893957,3.221141260510052e-05,-1.6881178870676195e-05,0.00026710061342335225,0.00011192229318813141,7.486377898271712e-05,0.0024410832923002167,-0.0006161270465845797,0.0013227344713975504,0.000648546128239293,-0.0002480912307550004,0.00039865481925611225,0.00033794289851783103,0.0002639467436182034,5.365535955619794e-05,6.848497189514796e-05,9.719228333504244e-05,-7.484747973704747e-05
